room_id,host_id,room_type,country,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,location
18794629,117141107,Shared room,,San Francisco,Haight Ashbury,3,5,3,1,,115,,37.76922,-122.451068,0101000020E61000006B11514CDE9C5EC0EDB60BCD75E24240
14610133,69716994,Shared room,,San Francisco,Chinatown,5,5,1,1,,80,,37.797211,-122.407981,0101000020E6100000EC18575C1C9A5EC0778192020BE64240
11297447,22931450,Shared room,,San Francisco,North Beach,45,5,2,1,,80,,37.798492,-122.404073,0101000020E6100000950C0055DC995EC00F0F61FC34E64240
8598745,45251621,Shared room,,San Francisco,Nob Hill,xxx,0,1,1,,85,,37.79119,-122.420715,0101000020E6100000F27B9BFEEC9A5EC00C76C3B645E54240
8135263,4804748,Shared room,,San Francisco,Outer Richmond,xxx,0,1,1,,100,,37.773525,-122.492837,0101000020E61000008F5033A48A9F5EC0B7D100DE02E34240
11638464,61691252,Shared room,,San Francisco,Nob Hill,1,0,1,1,,100,,37.794078,-122.41509,0101000020E610000063B9A5D5909A5EC08E3C1059A4E54240
16464767,2750828,Shared room,,San Francisco,Mission,1,0,1,1,,99,,37.751589,-122.421867,0101000020E6100000BF1072DEFF9A5EC045847F1134E04240
11528376,14488206,Shared room,,San Francisco,Mission,xxx,0,1,1,,100,,37.751365,-122.408968,0101000020E610000013471E882C9A5EC0F52D73BA2CE04240
8504147,28304379,Shared room,,San Francisco,Mission,xxx,0,2,1,,100,,37.75847,-122.407347,0101000020E6100000EBC726F9119A5EC0A27F828B15E14240
8037572,6990092,Shared room,,San Francisco,Western Addition,87,4.5,2,1,,81,,37.774602,-122.42991,0101000020E61000004C8E3BA5839B5EC046B5882826E34240
19716643,51050875,Shared room,,San Francisco,South of Market,xxx,0,1,1,,99,,37.787871,-122.391231,0101000020E61000009C8BBFED09995EC0C13BF9F4D8E44240
7181819,17018982,Shared room,,San Francisco,North Beach,36,4.5,1,1,,90,,37.804307,-122.412341,0101000020E6100000327381CB639A5EC0D1782288F3E64240
12205354,65392037,Shared room,,San Francisco,South of Market,82,4.5,2,1,,89,,37.778855,-122.403632,0101000020E61000009FE74F1BD5995EC0BDA94885B1E34240
18976753,6983558,Shared room,,San Francisco,South of Market,9,5,2,1,,100,,37.779712,-122.396927,0101000020E610000090F9804067995EC03E26529ACDE34240
16606328,4582815,Shared room,,San Francisco,Financial District,26,4.5,2,1,,85,,37.784647,-122.399711,0101000020E61000007E3672DD94995EC0C7F319506FE44240
18361820,1377490,Shared room,,San Francisco,South of Market,xxx,0,1,1,,80,,37.781258,-122.389336,0101000020E6100000F3C98AE1EA985EC083DE1B4300E44240
8256165,18682626,Shared room,,San Francisco,South of Market,xxx,0,1,1,,70,,37.778477,-122.393829,0101000020E6100000D9CD8C7E34995EC017D86322A5E34240
13191340,10623716,Shared room,,San Francisco,South of Market,1,0,1,1,,80,,37.774037,-122.396721,0101000020E6100000BB287AE063995EC06D72F8A413E34240
14040855,84133769,Shared room,,San Francisco,South of Market,9,5,1,1,,69,,37.781508,-122.390068,0101000020E6100000D5CDC5DFF6985EC0FCC7427408E44240
19104498,18685185,Shared room,,San Francisco,Western Addition,xxx,0,1,1,,80,,37.783475,-122.431497,0101000020E61000009DD497A59D9B5EC0E71DA7E848E44240
7844269,41334972,Shared room,,San Francisco,Mission,xxx,0,1,1,,75,,37.760614,-122.422745,0101000020E61000000B630B410E9B5EC09B70AFCC5BE14240
3139003,15694468,Shared room,,San Francisco,Mission,xxx,0,1,1,,75,,37.761304,-122.408768,0101000020E6100000AFE94141299A5EC03128D36872E14240
1566931,916362,Shared room,,San Francisco,Marina,22,5,1,1,,75,,37.802492,-122.429525,0101000020E61000001FF46C567D9B5EC09CA6CF0EB8E64240
7807401,22053410,Shared room,,San Francisco,Inner Richmond,xxx,0,1,1,,75,,37.781333,-122.454758,0101000020E61000000A664CC11A9D5EC08D2441B802E44240
